year	cid	CODE	COUNTRY	Y	K	KBC30	LWDI	secondary	EGC	mlines	troads	cells	proads	rails
1999	3	AUS	Australia	483465754825.47200	1223275086631.00000	1235798095130.41000	9713211.00000	2.68495	39632.00000	9760000.00000	811603.00000	6315000.00000	353331.00000	38563.00000
2000	3	AUS	Australia	492702390638.78400	1266986708170.84000	1278758336160.29000	9842599.00000	2.70366	44229.00000	10350000.00000	813769.00000	8562000.00000	353331.00000	33819.00000
1960	4	AUT	Austria	59513506130.00010	80967185529.77630	105274327372.84400	3383040.00000	0.47380	4088.00000	428807.00000	86897.75000	0.00000	86897.75000	6596.00000
1961	4	AUT	Austria	62845275018.11640	90770581807.82520	113619295140.30800	3330890.00000	0.49520	4269.00000	466721.00000	87360.00000	0.00000	87360.00000	6586.00000
1962	4	AUT	Austria	64235340722.28700	99361883781.11300	120839674313.64700	3351100.00000	0.52440	4723.00000	507988.00000	87835.60156	0.00000	87835.60156	6570.00000
1963	4	AUT	Austria	66786500892.66620	107749652900.04300	127938776000.62500	3299120.00000	0.56490	5031.00000	552899.00000	91266.29688	0.00000	91266.29688	6566.00000
1964	4	AUT	Austria	71077880967.00280	118285690616.16800	137263466330.71600	3318900.00000	0.59650	5536.00000	601788.00000	91792.00000	0.00000	91792.00000	6583.00000
1965	4	AUT	Austria	73377316690.86800	128657483965.38500	146496593137.05900	3264750.00000	0.62210	5974.00000	655000.00000	91821.00000	0.00000	91821.00000	6580.00000
1966	4	AUT	Austria	77656135707.19300	140512600245.91200	157281362867.28600	3215520.00000	0.64740	6060.00000	712000.00000	91872.00000	0.00000	91872.00000	6569.00000
1967	4	AUT	Austria	79930310629.24390	151344464285.56900	167107101149.66000	3228720.00000	0.67630	6366.00000	768000.00000	92976.00000	0.00000	92976.00000	6542.00000
1968	4	AUT	Austria	83552621648.95870	162540238590.97300	177357117243.21900	3165660.00000	0.71630	7056.00000	831000.00000	93272.29688	0.00000	93272.29688	6534.00000
1969	4	AUT	Austria	88555970744.31650	174390033810.21900	188317899743.33000	3175120.00000	0.77130	7469.00000	900000.00000	94218.20313	0.00000	94218.20313	6510.00000
1970	4	AUT	Austria	95116960765.88910	188726280272.71000	201818474249.83500	3118920.00000	0.84200	7976.00000	969000.00000	94831.50000	0.00000	94831.50000	6506.00000
1971	4	AUT	Austria	100007677293.20100	202955433350.04800	215262095688.54500	3133200.00000	0.91570	8229.00000	1058000.00000	95388.29688	0.00000	95388.29688	6495.00000
1972	4	AUT	Austria	106306291693.58500	218834409216.60800	230402671814.79500	3229300.00000	0.99550	8308.00000	1168000.00000	96369.00000	0.00000	96369.00000	6478.00000
1973	4	AUT	Austria	111803959031.26300	236389587220.93400	247263754063.23000	3247790.00000	1.07850	8778.00000	1281000.00000	97359.00000	0.00000	97359.00000	6477.00000
1974	4	AUT	Austria	115768391550.42300	253226929930.34700	263448646762.10500	3252520.00000	1.15900	9240.00000	1390000.00000	102692.00000	0.00000	102692.00000	6475.00000
1975	4	AUT	Austria	115138331212.61900	265249949793.10700	274858363614.96000	3249080.00000	1.23920	10016.00000	1505000.00000	102787.00000	0.00000	102787.00000	6468.00000
1976	4	AUT	Austria	120786394097.91200	279927418167.54400	288959327160.08600	3322880.00000	1.31710	10537.00000	1623000.00000	102858.00000	0.00000	102858.00000	6469.00000
1977	4	AUT	Austria	127172946822.98800	297078340462.55800	305568334915.54700	3325960.00000	1.39890	11620.00000	1746999.00000	106180.00000	0.00000	106180.00000	6468.00000
1978	4	AUT	Austria	124493351127.89300	309074012273.88400	317054607059.69400	3323320.00000	1.48180	12313.00000	1885000.00000	106642.00000	0.00000	106642.00000	6461.00000
1979	4	AUT	Austria	134718068769.28500	326053459881.01300	333555218979.67400	3397500.00000	1.56840	12684.00000	2033001.00000	106678.00000	0.00000	106678.00000	6458.00000
1980	4	AUT	Austria	135188751715.55200	341777634830.58100	348829288383.32300	3398850.00000	1.64820	12930.00000	2191000.00000	106303.00000	0.00000	106303.00000	6459.00000
1981	4	AUT	Austria	135176589573.66200	353485304806.08000	360113859145.65700	3404250.00000	1.72580	13888.00000	2323000.00000	106865.00000	0.00000	106865.00000	6419.00000
1982	4	AUT	Austria	137292078885.44400	362373586681.86900	368604427761.07200	3408300.00000	1.80560	14243.00000	2438673.00000	107132.00000	0.00000	107132.00000	6416.00000
1983	4	AUT	Austria	140663267170.46900	370172886218.93200	376029876833.38200	3398400.00000	1.88820	14555.00000	2547908.00000	107212.00000	0.00000	107212.00000	6401.00000
1984	4	AUT	Austria	141680197210.62600	379102190038.64300	384607761216.22600	3398400.00000	1.97160	14933.00000	2640843.00000	104402.00000	0.00000	104402.00000	6359.00000
1985	4	AUT	Austria	146402336648.89300	389231451377.76900	394406688284.69700	3475300.00000	2.05050	15241.00000	2729390.00000	104473.00000	9760.00000	104473.00000	6371.00000
1986	4	AUT	Austria	148851376945.90900	398863225014.56700	403727947707.07900	3479900.00000	2.13580	15784.00000	2818437.00000	105102.00000	19100.00000	105102.00000	6385.00000
1987	4	AUT	Austria	151460117245.43100	408867135058.56000	413439974389.52200	3483580.00000	2.21780	16559.00000	2906737.00000	106506.00000	26200.00000	106506.00000	6330.00000
1988	4	AUT	Austria	157531354880.32600	421684120452.04300	425982589423.14700	3493700.00000	2.29960	16731.00000	3001319.00000	107099.00000	36900.00000	107099.00000	6338.00000
1989	4	AUT	Austria	164430440442.31700	436089322768.29900	440129883601.13700	3510440.00000	2.37840	16807.00000	3102813.00000	107099.00000	50700.00000	107099.00000	6349.00000
1990	4	AUT	Austria	171777955152.43800	451543552481.43000	455341679664.29800	3553820.00000	2.45410	16686.00000	3226376.50000	107838.00000	73700.00000	107180.00000	6350.00000
1991	4	AUT	Austria	177396401290.70900	468182676223.26600	471752915775.16100	3599910.00000	2.52590	16779.00000	3357097.00000	112208.00000	115000.00000	109000.00000	6344.00000
1992	4	AUT	Austria	181473202340.87400	483411821635.45100	486767846814.23200	3639240.00000	2.59480	17231.00000	3474401.00000	109045.00000	172000.00000	110000.00000	6345.00000
1993	4	AUT	Austria	182165724028.60100	496528067641.73700	499682731309.79200	3674710.00000	2.68926	17261.00000	3578780.00000	129419.00000	221000.00000	129419.00000	6343.00000
1994	4	AUT	Austria	185995294157.59400	511095398607.04500	514060782455.01700	3772930.00000	2.78314	17426.00000	3690650.75000	129282.00000	278000.00000	129282.00000	6384.00000
1995	4	AUT	Austria	189834745770.64000	527060970530.46100	529848431347.55400	3782090.00000	2.87720	17439.00000	3796900.00000	130023.00000	384000.00000	130023.00000	6425.00000
1996	4	AUT	Austria	193954181537.11000	542085990282.79000	544706203450.85700	3787730.00000	2.97222	17519.00000	3901600.00000	129055.00000	599000.00000	129055.00000	5624.00000
